DateID,ProductID,StoreID,CustomerID,QuantityOrderded,OrderAmount,DiscountAmount,Shipping Cost,TotalAmount
20210825,130,189,6305,19,583,27.237679972934686,70.55229173505582,485.2100282920095
20210303,979,193,803,5,604,46.140599198445784,33.88915702916286,523.9702437723913
20171218,716,86,2123,13,670,16.71188716378478,52.91018661755693,600.3779262186583
20181222,174,72,2071,19,691,70.77233661351066,96.63892442280361,523.5887389636857
20231026,18,139,8839,3,683,49.966105336653676,98.00275641344196,535.0311382499044
20220502,538,177,8337,5,959,39.226792977822846,104.45018861294719,815.3230184092299
20170618,355,141,9970,8,503,27.373838486773145,42.31659223478378,433.30956927844306
20230723,138,126,3242,18,224,5.638952325921886,28.483935510134835,189.87711216394328
20180121,326,130,7146,3,624,66.41380924471507,51.134844889196046,506.4513458660889
20160228,843,90,5428,19,864,23.93405304059657,123.19022093440863,716.8757260249948
20240911,932,139,5416,18,526,60.10570323033579,61.96871220858655,403.92558456107764
20170905,227,185,4891,17,395,36.83629998817683,20.684899506680026,337.4788005051431
20140725,711,95,1796,17,780,83.68471161771518,103.19180498921165,593.1234833930732
20160224,206,74,9584,9,521,14.742791570484705,52.1543904264456,454.10281800306973
20231106,156,71,4966,13,769,82.76354863508125,112.18013743217713,574.0563139327417
20230830,126,82,4543,18,978,123.1313154094008,66.67932210455231,788.1893624860469
20170926,930,141,5458,5,612,17.440040601322202,58.80672156095081,535.7532378377269
20191219,267,24,2535,6,809,19.31555564473922,64.14375850434882,725.5406858509119
20150514,119,190,471,4,245,6.508183082793164,29.628419951823098,208.86339696538374
20141005,567,22,9594,9,382,17.01729332142105,31.911611761558188,333.0710949170208
20200429,875,192,6694,3,775,88.48481143138997,106.64774725320146,579.8674413154085
20181221,754,5,4576,7,946,109.02091910188976,122.17473950313506,714.8043413949752
20140919,700,170,9179,13,587,68.21880081267429,85.02386576322203,433.75733342410365
20210404,858,7,5986,19,353,16.509331131130452,47.31977010664878,289.17089876222076
20170501,524,76,8407,1,500,24.611694048714988,72.7759724243166,402.6123335269684
20180501,512,94,6457,1,994,109.33209873298627,106.80311006955154,777.8647911974622
20240113,840,76,6786,2,792,68.78974920292981,100.70061548295767,622.5096353141125
20170923,434,37,943,18,635,67.9167093031643,33.21114389997336,533.8721467968624
20240826,502,4,4357,9,389,32.253943743139175,33.31246740827699,323.43358884858384
20190505,119,41,4677,1,322,8.773182405102567,24.795053231672785,288.43176436322466
20160530,32,183,823,16,563,48.92686175270702,68.11658234342262,445.95655590387037
20210603,190,184,9714,15,384,40.68023605506745,39.357591069583094,303.96217287534944
20170208,229,31,1587,2,114,14.398472771208413,16.995468255356396,82.60605897343518
20240617,168,59,9630,9,839,26.820314425064392,122.61369743485952,689.5659881400761
20140421,180,15,5478,15,379,21.241359534237688,42.07641406720627,315.68222639855605
20220703,428,45,2878,19,459,66.71068414216097,36.39486586847302,355.894449989366
20180109,900,47,4115,14,633,63.55455512312523,66.44950255694337,502.9959423199314
20181026,763,175,5399,12,676,55.00890205995274,100.62107808328375,520.3700198567635
20150427,307,26,4978,17,307,20.241731824440848,17.97121083214418,268.787057343415
